1,కళ్ళముందు చీకటుంటే కలత దేనికి మిణుగురంత ఆశ చాలు నడపడానికి
2,మొదటివాడు ఎప్పుడు ఒక్కడే మరి మొదటి అడుగు ఎప్పుడు ఒంటరే మరి
3,చెలిమి తోడుంటే చాలమ్మా... లేనిది ఏముంది? ఆశ చిటికేస్తే చాలమ్మా...  అందనిదేముంది!
4,పట్టుదలతో చేస్తే సమరం.. తప్పకుండ నీదే విజయం..  కష్టపడితే రాదా ఫలితం... 
5,నీ ధైర్యం తోడై ఉండగా... ఏ సాయం కోసం చూడక.. నీ ధ్యేయం చూపే మార్గంలో.. పోరా సూటిగా! 
6,నీ పయనం ఎక్కడికో నీకు తెలియాలిగా  ఏ సమరం ఎవరితో తేల్చుకో ముందుగా
7,అలుపన్నది ఉందా ఎగిరే అలకు అదుపన్నది ఉందా కలిగే కలకు
8,సాగలేక ఆగితే దారి తరుగునా? జాలిచూపి తీరమే దరికి చేరునా
9,కో...అంటే కోటి దొర్లుకుంటూ వస్తుంది కొండ మీది కోతి
10,నీది అయిన నిర్వచనమిచ్చుకో జీవితానికి - ఏం చేసినా ...
11,ఎడారి దారుల తడారిపోయిన ఆశకు చెమటల ధారలు పోయ్  
12,చెదరని నమ్మకమే నేస్తమై పయనమైతే  కనులెదురుగా కల నిలుచునుగా !!
13,సంతోషం సగం బలం హాయిగ నవ్వమ్మా!
14,శత్రువులు నీలోని లోపాలే స్నేహితులు నీకున్న ఇష్టాలే
15,విశ్రమించవద్దు ఏ క్షణం....విస్మరించవద్దు నిర్ణయం
16,"ధీరులకి, దీనులకి అమ్మ ఒడి ఒక్కటే  వీరులకి, చోరులకి కంట తడి ఒక్కటే"
17,పసిడి పతకాల హారం కాదురా విజయ తీరం ఆటనే మాటకర్ధం నిను నువ్వే గెలుచు యుద్దం
18,తికమక మకతిక పరుగులు ఎటుకేసి నడవరా నరవరా నలుగురితో కలిసీ
19,ఎప్పుడూ ఒప్పుకోవద్దురా ఓటమి ఎప్పుడూ వదులుకోవద్దురా ఓరిమి
20,నింగి ఎంత గొప్పదైన రివ్వుమన్న గువ్వపిల్ల రెక్క ముందు తక్కువేనురా
21,సంద్రమెంత పెద్దదైన ఈదుతున్న చేపపిల్ల మొప్ప ముందు చిన్నదేనురా
22,పశ్చిమాన పొంచి ఉండి రవిని మింగు అసుర సంధ్య ఒక్కనాడు నెగ్గలేదురా
